Koppen Climate,Home Team,Away Team,Elevation (meters),Temperature (c),Humidity (g/kg),Actual Home Avg Rating,Predicted Home Avg Rating,Actual Away Avg Rating,Predicted Away Avg Rating
2,8,0,163.0,13.66,8.54,7.22,7.024699999999999,7.25,6.997820000000002
2,20,26,6.0,14.03,8.67,7.66,7.520299999999995,6.3,6.6879
1,22,21,1360.0,11.734,4.27,7.47,7.3176166666666695,6.56,6.5454
2,9,5,192.0,18.8,9.77,7.38,7.1888999999999985,6.72,6.979099999999999
3,27,4,11.0,9.016,6.145,6.23,7.199400000000001,7.66,6.596500000000004
2,3,7,228.0,16.83,9.516,7.54,7.174700000000005,6.18,6.808299999999994
3,27,21,11.0,9.016,6.145,6.83,6.927100000000005,7.52,6.965299999999997
2,18,21,6.0,12.92,8.12,7.2,7.0625000000000036,7.05,7.073300000000004
2,25,1,307.0,13.82,8.55,6.07,7.0491999999999955,7.39,6.649819999999998
2,8,15,163.0,13.66,8.54,7.15,6.788049999999998,6.98,7.112799999999996
2,15,5,157.0,15.836,9.555,7.33,7.260599999999998,6.22,6.562499999999999
6,2,19,40.0,5.848,5.98,7.4,7.276200000000005,6.37,6.408500000000004
2,6,7,218.0,12.19,8.12,7.5,7.314099999999996,6.3,6.731400000000001
2,1,25,235.0,21.08,11.09,6.82,7.147399999999997,6.63,6.836400000000009
4,23,15,10.0,16.83,5.867,7.11,7.307899999999997,7.08,7.009199999999998
2,18,2,6.0,12.92,8.12,6.63,7.3195,7.45,6.731299999999999
3,27,12,11.0,9.016,6.145,7.61,6.9798,6.24,6.885700000000001
6,26,18,81.0,8.24,6.906,6.24,6.928500000000006,7.91,7.009899999999991
2,0,11,313.0,17.69,10.086,7.85,7.2063,6.25,6.578399999999999
3,27,15,11.0,9.016,6.145,6.36,6.8588500000000066,7.58,7.144999999999993
5,4,19,190.0,10.984,7.91,7.11,6.944000000000008,6.9,7.000000000000001
2,6,2,218.0,12.19,8.12,6.78,6.658900000000002,7.06,7.198599999999995
2,25,23,307.0,13.82,8.55,7.52,7.363999999999995,6.63,6.617099999999998
2,3,8,228.0,16.83,9.516,7.33,7.222600000000004,6.8,6.760099999999993
2,20,16,6.0,14.03,8.67,7.37,7.438706666666662,7.11,6.892200000000003
4,21,0,36.0,8.91,6.2,7.32,7.426800000000001,6.69,6.516300000000001
